Allowed: 172.16.63.27:1900 -> 239.255.255.250:1900 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.187:46512 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.51.50:52086 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.200:47598 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 10.10.91.157:57149 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.60.197:52083 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.134:63962 -> 8.8.8.8:53 | Protocol: UDP | Location: N/A
Allowed: 8.8.8.8:53 -> 172.16.63.134:63962 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.134:65230 -> 103.47.13.147:80 | Protocol: TCP | Location: N/A
Allowed: 103.47.13.147:80 -> 172.16.63.134:65230 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65230 -> 103.47.13.147:80 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65230 -> 103.47.13.147:80 | Protocol: TCP | Location: N/A
Allowed: 103.47.13.147:80 -> 172.16.63.134:65230 | Protocol: TCP | Location: N/A
Allowed: 103.47.13.147:80 -> 172.16.63.134:65230 | Protocol: TCP | Location: N/A
Allowed: 103.47.13.147:80 -> 172.16.63.134:65230 | Protocol: TCP | Location: N/A
Allowed: 103.47.13.147:80 -> 172.16.63.134:65230 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65230 -> 103.47.13.147:80 | Protocol: TCP | Location: N/A
Allowed: 172.16.63.134:65230 -> 103.47.13.147:80 | Protocol: TCP | Location: N/A
Allowed: 103.47.13.147:80 -> 172.16.63.134:65230 | Protocol: TCP | Location: N/A
Allowed: 172.16.49.160:58396 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 10.10.90.113:40288 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.202:42956 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.204:58133 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.51.40:41077 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 10.10.91.153:42680 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.25:5353 -> 224.0.0.251:5353 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.199:53065 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.51.52:49638 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.59.198:44451 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.61.197:54635 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 192.168.85.181:46333 -> 239.255.255.250:1900 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.33:42161 -> 239.255.255.250:1900 | Protocol: UDP | Location: N/A
Allowed: 172.16.62.181:45723 -> 255.255.255.255:10001 | Protocol: UDP | Location: N/A
Allowed: 172.16.63.134:62746 -> 142.251.175.188:5228 | Protocol: TCP | Location: N/A
Allowed: 10.10.90.100:43529 -> 255.255.255.255:29810 | Protocol: UDP | Location: N/A
