Blocked Port: 142.250.192.195:443 -> 172.16.63.134:53089 | Protocol: UDP
Blocked Port: 172.16.62.187:46467 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.62.213:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 10.10.90.113:52193 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 172.16.61.202:44841 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 10.10.91.153:50151 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 172.16.51.40:43502 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.61.204:49762 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.49.160:34244 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.61.199:39444 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.62.5:46230 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.61.197:59388 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 10.10.90.151:36243 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 172.16.62.181:49293 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 10.10.91.155:42364 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP
Blocked Port: 172.16.48.1:67 -> 255.255.255.255:68 | Protocol: UDP
Blocked Port: 172.16.51.147:46218 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 10.10.90.114:45534 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 172.16.63.134:61737 -> 8.8.8.8:53 | Protocol: UDP
Blocked Port: 8.8.8.8:53 -> 172.16.63.134:61737 | Protocol: UDP
Blocked Port: 103.47.13.147:80 -> 172.16.63.134:64930 | Protocol: TCP
Blocked Port: 172.16.51.82:56831 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 103.47.13.147:80 -> 172.16.63.134:64930 | Protocol: TCP
Blocked Port: 103.47.13.147:80 -> 172.16.63.134:64930 | Protocol: TCP
Blocked Port: 103.47.13.147:80 -> 172.16.63.134:64930 | Protocol: TCP
Blocked Port: 103.47.13.147:80 -> 172.16.63.134:64930 | Protocol: TCP
Blocked Port: 34.120.52.64:443 -> 172.16.63.134:61520 | Protocol: TCP
Blocked Port: 34.120.52.64:443 -> 172.16.63.134:61520 | Protocol: TCP
Blocked Port: 172.16.63.50:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.63.50:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP
Blocked Port: 10.10.90.100:41861 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 10.10.91.154:56930 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP
Blocked Port: 10.10.91.156:49431 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 10.10.90.152:51220 -> 255.255.255.255:29810 | Protocol: UDP
