2025-03-18 13:38:14.247229 - 172.16.63.134 -> 142.250.77.234 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.251188 - 142.250.192.195 -> 172.16.63.134 | Protocol: UDP | Port: 52906
2025-03-18 13:38:14.252529 - 142.250.192.195 -> 172.16.63.134 | Protocol: UDP | Port: 52906
2025-03-18 13:38:14.253541 - 142.250.192.195 -> 172.16.63.134 | Protocol: UDP | Port: 52906
2025-03-18 13:38:14.255572 - 142.250.192.195 -> 172.16.63.134 | Protocol: UDP | Port: 52906
2025-03-18 13:38:14.256540 - 142.250.192.195 -> 172.16.63.134 | Protocol: UDP | Port: 52906
2025-03-18 13:38:14.258542 - 172.16.63.134 -> 142.250.192.195 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.260542 - 172.16.63.134 -> 142.250.192.195 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.263865 - 142.250.77.234 -> 172.16.63.134 | Protocol: UDP | Port: 64757
2025-03-18 13:38:14.264858 - 142.250.192.195 -> 172.16.63.134 | Protocol: UDP | Port: 52906
2025-03-18 13:38:14.266758 - 172.16.63.134 -> 142.250.192.195 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.284684 - 10.10.90.151 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:14.325242 - 142.250.192.195 -> 172.16.63.134 | Protocol: UDP | Port: 52906
2025-03-18 13:38:14.327244 - 142.250.192.195 -> 172.16.63.134 | Protocol: UDP | Port: 52906
2025-03-18 13:38:14.328240 - 172.16.63.134 -> 142.250.192.195 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.342835 - 142.250.192.195 -> 172.16.63.134 | Protocol: UDP | Port: 52906
2025-03-18 13:38:14.456936 - 172.16.63.134 -> 142.250.77.234 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.459214 - 142.250.77.234 -> 172.16.63.134 | Protocol: UDP | Port: 64757
2025-03-18 13:38:14.496300 - 172.16.62.166 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:14.590167 - 172.16.61.146 -> 255.255.255.255 | Protocol: UDP | Port: 17500
2025-03-18 13:38:14.591170 - 172.16.61.146 -> 255.255.255.255 | Protocol: UDP | Port: 17500
2025-03-18 13:38:14.592229 - 172.16.61.146 -> 172.16.63.255 | Protocol: UDP | Port: 17500
2025-03-18 13:38:14.592229 - 172.16.61.146 -> 255.255.255.255 | Protocol: UDP | Port: 17500
2025-03-18 13:38:14.592229 - 172.16.61.146 -> 255.255.255.255 | Protocol: UDP | Port: 17500
2025-03-18 13:38:14.674571 - 172.16.63.134 -> 142.250.77.234 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.696139 - 142.250.77.234 -> 172.16.63.134 | Protocol: UDP | Port: 64757
2025-03-18 13:38:14.792654 - 10.10.90.125 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:14.891608 - 10.10.90.93 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:14.891608 - 10.10.90.99 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:14.910348 - 172.16.63.134 -> 142.250.77.234 | Protocol: UDP | Port: 443
2025-03-18 13:38:14.919385 - 142.250.77.234 -> 172.16.63.134 | Protocol: UDP | Port: 64757
2025-03-18 13:38:15.103435 - 172.16.62.166 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:15.333153 - 172.16.63.134 -> 142.250.77.234 | Protocol: UDP | Port: 443
2025-03-18 13:38:15.333153 - 142.250.77.234 -> 172.16.63.134 | Protocol: UDP | Port: 64757
